<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,D,20081209,000000,115.81000,115.85000,111.39000,112.23000
GAZP,D,20081210,000000,113.50000,113.95000,111.32000,111.99000
GAZP,D,20081211,000000,112.05000,115.99000,111.51000,114.95000
GAZP,D,20081212,000000,110.75000,115.50000,109.02000,115.26000
GAZP,D,20081215,000000,116.30000,118.86000,115.80000,116.80000
GAZP,D,20081216,000000,115.47000,117.49000,114.70000,115.50000
GAZP,D,20081217,000000,117.77000,117.92000,112.12000,113.15000
GAZP,D,20081218,000000,112.90000,113.77000,105.57000,105.70000
GAZP,D,20081219,000000,104.00000,105.59000,101.60000,105.10000
GAZP,D,20081222,000000,105.05000,110.68000,103.56000,109.90000
GAZP,D,20081223,000000,108.00000,115.74000,107.40000,115.03000
GAZP,D,20081224,000000,114.92000,117.36000,110.22000,111.10000
GAZP,D,20081225,000000,110.56000,111.80000,105.55000,106.30000
GAZP,D,20081226,000000,107.60000,108.30000,102.01000,102.60000
GAZP,D,20081229,000000,104.30000,107.65000,102.85000,103.44000
GAZP,D,20081230,000000,105.26000,109.25000,101.97000,108.60000
GAZP,D,20081231,000000,108.45000,108.90000,106.61000,107.63000
GAZP,D,20090111,000000,115.01000,115.01000,110.61000,111.58000
GAZP,D,20090112,000000,110.88000,115.45000,110.75000,113.85000
GAZP,D,20090113,000000,112.60000,115.74000,111.60000,114.14000
GAZP,D,20090114,000000,115.11000,117.00000,108.00000,108.30000
GAZP,D,20090115,000000,106.99000,110.69000,105.35000,107.17000
GAZP,D,20090116,000000,110.00000,111.71000,107.50000,107.90000
GAZP,D,20090119,000000,110.53000,110.80000,103.55000,106.05000
GAZP,D,20090120,000000,105.30000,108.15000,102.83000,105.55000
GAZP,D,20090121,000000,103.00000,109.37000,102.60000,107.99000
GAZP,D,20090122,000000,110.02000,110.37000,103.33000,103.79000
GAZP,D,20090123,000000,103.20000,105.74000,99.50000,101.49000
GAZP,D,20090126,000000,103.00000,111.89000,101.64000,111.41000
GAZP,D,20090127,000000,111.80000,112.25000,107.21000,109.56000
GAZP,D,20090128,000000,111.01000,114.80000,110.00000,114.11000
GAZP,D,20090129,000000,114.20000,115.68000,112.35000,113.85000
GAZP,D,20090130,000000,112.97000,118.27000,112.00000,114.70000
GAZP,D,20090202,000000,113.00000,116.78000,111.80000,116.70000
GAZP,D,20090203,000000,117.01000,118.20000,115.77000,117.00000
GAZP,D,20090204,000000,118.51000,119.62000,116.39000,118.38000
GAZP,D,20090205,000000,117.00000,118.24000,113.12000,113.69000
GAZP,D,20090206,000000,115.25000,117.35000,113.00000,117.00000
GAZP,D,20090209,000000,116.69000,127.14000,115.87000,126.00000
GAZP,D,20090210,000000,125.00000,130.91000,123.17000,127.70000
GAZP,D,20090211,000000,124.98000,129.24000,121.81000,124.40000
GAZP,D,20090212,000000,124.52000,127.90000,119.83000,119.91000
GAZP,D,20090213,000000,122.56000,127.57000,122.51000,126.51000
GAZP,D,20090216,000000,125.48000,127.77000,122.56000,123.99000
GAZP,D,20090217,000000,122.50000,122.66000,112.81000,113.90000
GAZP,D,20090218,000000,113.00000,115.76000,107.10000,110.98000
GAZP,D,20090219,000000,111.96000,117.69000,111.53000,113.40000
GAZP,D,20090220,000000,111.57000,113.30000,109.50000,111.65000
GAZP,D,20090224,000000,109.21000,112.95000,108.13000,112.00000
GAZP,D,20090225,000000,113.78000,116.48000,112.18000,112.75000
GAZP,D,20090226,000000,114.75000,119.55000,114.59000,119.30000
GAZP,D,20090227,000000,117.99000,119.35000,113.31000,116.50000
GAZP,D,20090302,000000,113.12000,114.30000,110.80000,111.83000
GAZP,D,20090303,000000,110.70000,112.72000,108.76000,111.30000
GAZP,D,20090304,000000,112.35000,115.35000,112.31000,114.55000
GAZP,D,20090305,000000,115.40000,115.50000,110.45000,112.07000
GAZP,D,20090306,000000,110.59000,113.78000,110.55000,112.70000
GAZP,D,20090310,000000,114.00000,125.21000,113.97000,124.30000
GAZP,D,20090311,000000,125.40000,127.70000,121.20000,125.83000
GAZP,D,20090312,000000,123.49000,125.64000,118.61000,122.50000
GAZP,D,20090313,000000,126.13000,130.80000,125.17000,127.30000
GAZP,D,20090316,000000,126.70000,129.00000,124.75000,128.68000
GAZP,D,20090317,000000,129.12000,129.65000,125.80000,125.91000
GAZP,D,20090318,000000,127.91000,128.67000,119.70000,120.50000
GAZP,D,20090319,000000,123.00000,126.95000,122.60000,124.30000
GAZP,D,20090320,000000,123.79000,126.54000,121.81000,125.99000
GAZP,D,20090323,000000,128.49000,137.19000,128.26000,137.08000
GAZP,D,20090324,000000,141.03000,141.50000,131.50000,133.30000
GAZP,D,20090325,000000,132.90000,139.04000,132.11000,137.90000
GAZP,D,20090326,000000,139.56000,139.99000,133.85000,136.70000
GAZP,D,20090327,000000,136.49000,140.15000,130.85000,133.27000
GAZP,D,20090330,000000,130.00000,130.70000,123.96000,124.21000
GAZP,D,20090331,000000,124.99000,131.18000,124.50000,126.40000
GAZP,D,20090401,000000,126.00000,131.50000,124.60000,131.35000
GAZP,D,20090402,000000,135.00000,140.60000,135.00000,140.59000
GAZP,D,20090403,000000,139.82000,142.25000,137.52000,137.85000
GAZP,D,20090406,000000,141.01000,144.88000,135.57000,136.00000
GAZP,D,20090407,000000,137.26000,139.65000,132.78000,135.40000
GAZP,D,20090408,000000,132.86000,139.98000,130.62000,139.97000
GAZP,D,20090409,000000,143.03000,148.50000,140.91000,147.90000
GAZP,D,20090410,000000,149.00000,149.41000,145.08000,147.78000
GAZP,D,20090413,000000,146.82000,147.50000,142.27000,142.74000
GAZP,D,20090414,000000,143.31000,148.45000,140.72000,144.99000
GAZP,D,20090415,000000,142.09000,144.20000,140.11000,141.95000
GAZP,D,20090416,000000,143.51000,144.40000,140.89000,142.99000
GAZP,D,20090417,000000,144.11000,145.57000,142.26000,143.51000
GAZP,D,20090420,000000,143.01000,143.77000,133.30000,134.00000
GAZP,D,20090421,000000,132.69000,136.80000,131.50000,134.47000
GAZP,D,20090422,000000,135.55000,140.51000,134.66000,140.30000
GAZP,D,20090423,000000,140.01000,149.49000,139.60000,149.00000
GAZP,D,20090424,000000,149.01000,152.19000,146.12000,150.00000
GAZP,D,20090427,000000,148.41000,149.00000,142.67000,145.50000
GAZP,D,20090428,000000,142.70000,143.20000,138.67000,143.00000
GAZP,D,20090429,000000,143.99000,149.09000,141.24000,149.00000
GAZP,D,20090430,000000,150.89000,152.40000,147.40000,147.82000
GAZP,D,20090504,000000,151.02000,155.48000,151.00000,155.00000
GAZP,D,20090505,000000,156.50000,163.88000,153.63000,161.30000
GAZP,D,20090506,000000,159.99000,171.72000,159.60000,169.91000
GAZP,D,20090507,000000,172.98000,178.65000,170.10000,171.61000
GAZP,D,20090508,000000,173.03000,175.38000,171.07000,173.30000
GAZP,D,20090512,000000,169.99000,180.39000,169.13000,179.05000
GAZP,D,20090513,000000,181.18000,186.28000,164.10000,167.19000
GAZP,D,20090514,000000,163.97000,167.87000,160.00000,165.50000
GAZP,D,20090515,000000,168.03000,169.70000,161.85000,166.24000
GAZP,D,20090518,000000,162.97000,170.88000,161.10000,170.31000
GAZP,D,20090519,000000,175.20000,178.40000,170.90000,176.02000
GAZP,D,20090520,000000,176.50000,183.51000,173.82000,183.24000
GAZP,D,20090521,000000,180.00000,180.20000,170.11000,170.15000
GAZP,D,20090522,000000,172.34000,176.44000,171.25000,174.17000
GAZP,D,20090525,000000,174.50000,175.18000,168.12000,170.67000
GAZP,D,20090526,000000,169.97000,170.45000,164.50000,170.15000
GAZP,D,20090527,000000,173.21000,175.35000,171.19000,171.20000
GAZP,D,20090528,000000,170.15000,174.52000,169.99000,172.56000
GAZP,D,20090529,000000,175.75000,178.75000,175.51000,178.10000
GAZP,D,20090601,000000,182.84000,191.57000,182.60000,191.50000
GAZP,D,20090602,000000,192.00000,195.84000,185.03000,190.50000
GAZP,D,20090603,000000,191.51000,192.97000,173.73000,175.10000
GAZP,D,20090604,000000,174.97000,180.92000,170.21000,176.56000
GAZP,D,20090605,000000,181.01000,186.40000,177.00000,182.00000
GAZP,D,20090608,000000,178.82000,179.50000,173.80000,177.15000
GAZP,D,20090609,000000,178.70000,180.48000,175.20000,177.15000
GAZP,D,20090610,000000,182.50000,184.49000,178.37000,181.04000
GAZP,D,20090611,000000,183.50000,184.50000,178.55000,183.47000
GAZP,D,20090615,000000,179.14000,179.49000,173.03000,173.80000
GAZP,D,20090616,000000,172.05000,178.15000,172.02000,176.47000
