<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SNGS,D,20000704,000000,7.94900,8.11200,7.94000,8.05800
SNGS,D,20000705,000000,7.97900,8.00000,7.80000,7.83000
SNGS,D,20000706,000000,7.80000,8.18900,7.80000,8.18900
SNGS,D,20000707,000000,8.16000,8.27000,8.05000,8.05000
SNGS,D,20000710,000000,8.19900,8.20000,8.02100,8.06000
SNGS,D,20000711,000000,7.97500,7.97500,6.55000,7.85000
SNGS,D,20000712,000000,8.04500,8.14400,7.90200,8.14200
SNGS,D,20000713,000000,8.15000,8.30000,8.07000,8.07000
SNGS,D,20000714,000000,8.05000,8.36000,7.96000,8.30000
SNGS,D,20000717,000000,8.20000,8.66000,8.20000,8.45000
SNGS,D,20000718,000000,8.40900,8.46000,8.26600,8.28000
SNGS,D,20000719,000000,8.30100,8.45000,8.12600,8.21900
SNGS,D,20000720,000000,8.16200,8.33000,8.16200,8.30000
SNGS,D,20000721,000000,8.31100,8.45000,8.27100,8.32900
SNGS,D,20000724,000000,8.27000,8.28900,8.16500,8.26700
SNGS,D,20000725,000000,8.22400,8.22400,8.15000,8.20000
SNGS,D,20000726,000000,8.11000,8.35000,8.11000,8.31100
SNGS,D,20000727,000000,8.24000,8.35000,8.21200,8.35000
SNGS,D,20000728,000000,8.38900,8.49500,8.37000,8.49500
SNGS,D,20000731,000000,8.40000,8.55400,8.40000,8.51000
SNGS,D,20000801,000000,8.60000,8.70000,8.51000,8.59000
SNGS,D,20000802,000000,8.55000,8.76000,8.55000,8.61900
SNGS,D,20000803,000000,8.70200,8.76000,8.41100,8.58000
SNGS,D,20000804,000000,8.61100,8.70000,8.60000,8.68000
SNGS,D,20000807,000000,8.76000,8.85900,8.71200,8.71200
SNGS,D,20000808,000000,8.61000,8.83000,8.51600,8.83000
SNGS,D,20000809,000000,8.67000,8.93000,8.67000,8.89500
SNGS,D,20000810,000000,8.83100,9.01000,8.75000,8.92000
SNGS,D,20000811,000000,8.95000,9.48000,8.95000,9.46000
SNGS,D,20000814,000000,9.50000,9.75000,9.37100,9.75000
SNGS,D,20000815,000000,9.87400,10.07000,9.62600,9.92000
SNGS,D,20000816,000000,9.97700,10.19900,9.76000,10.00000
SNGS,D,20000817,000000,9.92200,9.95000,9.75000,9.84000
SNGS,D,20000818,000000,9.90000,9.99700,9.80000,9.83000
SNGS,D,20000821,000000,9.74000,9.86000,9.74000,9.81400
SNGS,D,20000822,000000,9.85000,10.08000,9.80000,10.05000
SNGS,D,20000823,000000,10.05000,10.25000,10.00000,10.10000
SNGS,D,20000824,000000,10.19000,10.92000,10.18000,10.82000
SNGS,D,20000825,000000,10.95000,11.01000,10.71000,10.75100
SNGS,D,20000828,000000,10.70000,10.85400,10.60700,10.85400
SNGS,D,20000829,000000,10.92000,11.05000,10.83100,10.99300
SNGS,D,20000830,000000,10.90000,10.98000,10.80000,10.80000
SNGS,D,20000831,000000,10.96500,10.96500,10.65000,10.78000
SNGS,D,20000901,000000,10.80000,10.80000,10.50000,10.50000
SNGS,D,20000904,000000,10.36000,10.54400,10.17000,10.49000
SNGS,D,20000905,000000,10.55000,10.59000,10.24100,10.42500
SNGS,D,20000906,000000,10.49000,10.49000,10.22600,10.30500
SNGS,D,20000907,000000,10.10000,10.26500,9.95100,9.95100
SNGS,D,20000908,000000,10.00000,10.00000,9.60000,9.68000
SNGS,D,20000911,000000,9.50000,9.55000,9.02000,9.31500
SNGS,D,20000912,000000,9.37700,9.49000,9.22100,9.37300
SNGS,D,20000913,000000,9.37000,9.37000,8.95000,8.97000
SNGS,D,20000914,000000,9.00000,9.15000,8.70000,9.12900
SNGS,D,20000915,000000,8.99800,9.05000,8.75000,8.80000
SNGS,D,20000918,000000,8.60100,8.60100,8.06000,8.15000
SNGS,D,20000919,000000,8.00000,8.48000,7.87000,8.35000
SNGS,D,20000920,000000,8.46500,8.54900,8.05400,8.10000
SNGS,D,20000921,000000,8.10000,8.19000,7.90000,8.15000
SNGS,D,20000922,000000,7.90000,8.00000,7.35000,7.42000
